data;

set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25;

param x := 
1 565.0
2 25.0
3 345.0
4 945.0
5 845.0
6 880.0
7 25.0
8 525.0
9 580.0
10 650.0
11 1605.0
12 1220.0
13 1465.0
14 1530.0
15 845.0
16 725.0
17 145.0
18 415.0
19 510.0
20 560.0
21 300.0
22 520.0
23 480.0
24 835.0
25 975.0;

param y := 
1 575.0
2 185.0
3 750.0
4 685.0
5 655.0
6 660.0
7 230.0
8 1000.0
9 1175.0
10 1130.0
11 620.0
12 580.0
13 200.0
14 5.0
15 680.0
16 370.0
17 665.0
18 635.0
19 875.0
20 365.0
21 465.0
22 585.0
23 415.0
24 625.0
25 580.0;

param r := 
1 0
2 55
3 23
4 33
5 24
6 27
7 53
8 35
9 49
10 46
11 85
12 54
13 80
14 91
15 25
16 22
17 35
18 14
19 25
20 18
21 24
22 4
23 15
24 23
25 34;

param i := 1;

param c := 3771;

end;
