data;

set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76;

param x := 
1 22
2 36
3 21
4 45
5 55
6 33
7 50
8 55
9 26
10 40
11 55
12 35
13 62
14 62
15 62
16 21
17 33
18 9
19 62
20 66
21 44
22 26
23 11
24 7
25 17
26 41
27 55
28 35
29 52
30 43
31 31
32 22
33 26
34 50
35 55
36 54
37 60
38 47
39 30
40 30
41 12
42 15
43 16
44 21
45 50
46 51
47 50
48 48
49 12
50 15
51 29
52 54
53 55
54 67
55 10
56 6
57 65
58 40
59 70
60 64
61 36
62 30
63 20
64 15
65 50
66 57
67 45
68 38
69 50
70 66
71 59
72 35
73 27
74 40
75 40
76 40;

param y := 
1 22
2 26
3 45
4 35
5 20
6 34
7 50
8 45
9 59
10 66
11 65
12 51
13 35
14 57
15 24
16 36
17 44
18 56
19 48
20 14
21 13
22 13
23 28
24 43
25 64
26 46
27 34
28 16
29 26
30 26
31 76
32 53
33 29
34 40
35 50
36 10
37 15
38 66
39 60
40 50
41 17
42 14
43 19
44 48
45 30
46 42
47 15
48 21
49 38
50 56
51 39
52 38
53 57
54 41
55 70
56 25
57 27
58 60
59 64
60 4
61 6
62 20
63 30
64 5
65 70
66 72
67 42
68 33
69 4
70 8
71 5
72 60
73 24
74 20
75 37
76 40;

param r := 
1 0
2 24
3 36
4 41
5 52
6 25
7 62
8 62
9 58
10 75
11 84
12 50
13 65
14 82
15 62
16 22
17 39
18 56
19 75
20 70
21 38
22 16
23 21
24 41
25 65
26 48
27 55
28 22
29 47
30 33
31 86
32 48
33 13
34 52
35 67
36 53
37 61
38 79
39 61
40 45
41 18
42 18
43 11
44 41
45 45
46 55
47 45
48 41
49 30
50 55
51 28
52 56
53 75
54 76
55 76
56 25
57 67
58 65
59 100
60 72
61 33
62 13
63 13
64 28
65 87
66 95
67 47
68 30
69 52
70 72
71 64
72 62
73 8
74 28
75 36
76 39;

param i := 1;

param c := 269;

end;
